Site,Date,Depth,Temp
99_sik,2020-01-15,5,4.224097430706024
99_sik,2020-01-15,10,4.990966536104679
99_sik,2020-01-15,15,5.459730841219425
99_sik,2020-01-15,20,5.614276573061943
99_sik,2020-01-15,30,6.201696842908859
99_sik,2020-01-15,40,6.72978913038969
99_sik,2020-01-15,50,6.943662844598293
99_sik,2020-01-15,65,7.525956004858017
99_sik,2020-01-15,80,7.289376519620418
99_sik,2020-01-16,5,4.173558779060841
99_sik,2020-01-16,10,4.675283074378967
99_sik,2020-01-16,15,5.427503295242786
99_sik,2020-01-16,20,5.701437436044216
99_sik,2020-01-16,30,6.632374048233032
99_sik,2020-01-16,40,6.857966870069504
99_sik,2020-01-16,50,6.9465926215052605
99_sik,2020-01-16,65,7.378734715282917
99_sik,2020-01-16,80,7.230780981481075
99_sik,2020-01-17,5,3.6425367146730414
99_sik,2020-01-17,10,4.0724814757704735
99_sik,2020-01-17,15,5.195318475365639
99_sik,2020-01-17,20,5.631855234503746
99_sik,2020-01-17,30,6.721732243895531
99_sik,2020-01-17,40,6.918027296662331
99_sik,2020-01-17,50,6.989074386656284
99_sik,2020-01-17,65,7.276192523539066
99_sik,2020-01-17,80,7.110660128295422
99_sik,2020-01-18,5,3.7040620297193527
99_sik,2020-01-18,10,4.205786325037479
99_sik,2020-01-18,15,5.139652714133263
99_sik,2020-01-18,20,5.329355768859386
99_sik,2020-01-18,30,6.388470120728016
99_sik,2020-01-18,40,6.8030335530638695
99_sik,2020-01-18,50,6.837458431720734
99_sik,2020-01-18,65,7.168523222208023
99_sik,2020-01-18,80,6.981749944388866
99_sik,2020-01-19,5,3.517288751900196
99_sik,2020-01-19,10,4.217505432665348
99_sik,2020-01-19,15,4.982177205383778
99_sik,2020-01-19,20,5.106692723929882
99_sik,2020-01-19,30,5.730002760887146
99_sik,2020-01-19,40,6.43095188587904
99_sik,2020-01-19,50,6.684377588331699
99_sik,2020-01-19,65,7.044007703661919
99_sik,2020-01-19,80,6.907773077487946
99_sik,2020-01-20,5,2.63542590290308
99_sik,2020-01-20,10,3.3759270161390305
99_sik,2020-01-20,15,4.389629825949669
99_sik,2020-01-20,20,4.652577303349972
99_sik,2020-01-20,30,5.306649997830391
99_sik,2020-01-20,40,6.003204457461834
99_sik,2020-01-20,50,6.602343834936619
99_sik,2020-01-20,65,6.9568468406796455
99_sik,2020-01-20,80,6.826471768319607
99_sik,2020-01-21,5,2.0245674178004265
99_sik,2020-01-21,10,2.4098330810666084
99_sik,2020-01-21,15,3.528275415301323
99_sik,2020-01-21,20,3.920133076608181
99_sik,2020-01-21,30,5.034180745482445
99_sik,2020-01-21,40,5.540299706161022
99_sik,2020-01-21,50,6.201696842908859
99_sik,2020-01-21,65,6.930478848516941
99_sik,2020-01-21,80,6.754692234098911
99_sik,2020-01-22,5,2.2384411320090294
99_sik,2020-01-22,10,2.4786828383803368
99_sik,2020-01-22,15,3.2418897226452827
99_sik,2020-01-22,20,3.5934629514813423
99_sik,2020-01-22,30,4.554429776966572
99_sik,2020-01-22,40,5.297860667109489
99_sik,2020-01-22,50,5.803247183561325
99_sik,2020-01-22,65,6.840388208627701
99_sik,2020-01-22,80,6.723197132349014
99_sik,2020-01-23,5,2.2516251280903816
99_sik,2020-01-23,10,2.715994767844677
99_sik,2020-01-23,15,3.2982879281044006
99_sik,2020-01-23,20,3.613971389830113
99_sik,2020-01-23,30,4.636463530361652
99_sik,2020-01-23,40,5.211432248353958
99_sik,2020-01-23,50,5.710226766765118
99_sik,2020-01-23,65,6.777398005127907
99_sik,2020-01-23,80,6.712210468947887
99_sik,2020-01-24,5,2.2128055840730667
99_sik,2020-01-24,10,2.314615331590176
99_sik,2020-01-24,15,2.795831188559532
99_sik,2020-01-24,20,3.1627857461571693
99_sik,2020-01-24,30,4.517807565629482
99_sik,2020-01-24,40,5.129398494958878
99_sik,2020-01-24,50,5.532242819666863
99_sik,2020-01-24,65,6.720999799668789
99_sik,2020-01-24,80,6.707815803587437
99_sik,2020-01-25,5,2.0318918600678444
99_sik,2020-01-25,10,2.033356748521328
99_sik,2020-01-25,15,2.260414458811283
99_sik,2020-01-25,20,2.5782952532172203
99_sik,2020-01-25,30,4.130344569683075
99_sik,2020-01-25,40,5.037842966616154
99_sik,2020-01-25,50,5.2766197845339775
99_sik,2020-01-25,65,6.493209645152092
99_sik,2020-01-25,80,6.677785590291023
99_sik,2020-01-26,5,2.043610967695713
99_sik,2020-01-26,10,2.0516678541898727
99_sik,2020-01-26,15,2.3746757581830025
99_sik,2020-01-26,20,2.646412566304207
99_sik,2020-01-26,30,3.9809259474277496
99_sik,2020-01-26,40,4.916257224977016
99_sik,2020-01-26,50,5.127201162278652
99_sik,2020-01-26,65,6.322550140321255
99_sik,2020-01-26,80,6.630176715552807
99_sik,2020-01-27,5,2.022370085120201
99_sik,2020-01-27,10,2.069978959858417
99_sik,2020-01-27,15,2.428144186735153
99_sik,2020-01-27,20,2.695486329495907
99_sik,2020-01-27,30,4.092989914119244
99_sik,2020-01-27,40,4.83568836003542
99_sik,2020-01-27,50,5.09350872784853
99_sik,2020-01-27,65,6.280068375170231
99_sik,2020-01-27,80,6.586230061948299
99_sik,2020-01-28,5,2.422284632921219
99_sik,2020-01-28,10,2.4369335174560547
99_sik,2020-01-28,15,2.572435699403286
99_sik,2020-01-28,20,2.7028107717633247
99_sik,2020-01-28,30,3.979461058974266
99_sik,2020-01-28,40,4.7968688160181046
99_sik,2020-01-28,50,5.17554248124361
